,Author ID,Tweet ID,Language,Created at,Text,Word Count,New Tweet,,Location,Retweet Count,Subjectivity,Polarity,Analysis,,Results
1,2184430467,1.69E+18,en,2023-08-21 08:21:44+00:00,Lorazepam Stimulates IL6 Production and Is Associated with Poor Survival Outcomes in Pancreatic Cancer | Clinical Cancer Research | American Association for Cancer Research,22,lorazepam stimulates il6 production  associated  poor survival outcomes  pancreatic cancer  clinical cancer research  american association  cancer research,17,,0,0.3,-0.2,Negative,negative,-1
2,1.69E+18,1.69E+18,en,2023-08-21 07:36:19+00:00,"buy ativan online without prescription from TRUST PHARMACY in the United States! Ativan without Prescription With Huge Discounts, Lowest Prices.",20,buy ativan online  prescription  trust pharmacy   united states! ativan  prescription  huge discounts lowest prices,14,,0,0.9,0.4,Positive,positive,1
3,1.25E+18,1.69E+18,en,2023-08-21 06:18:15+00:00,@JSchmanathan @loganzuber17 A great combination that many people use is lorazepam (Xanax would prob be similar in effect) and propranolol. One of each about an hour before the flight is amazingly effective and doesn’t make you loopy for the rest of the day.  Learned from a Dr. that travels for conferences,51,great combination  many people use  lorazepam xanax would prob be similar  effect  propranolol one  each about  hour before  flight  amazingly effective  does not make  loopy   rest   day  learned   dr that travels  conferences,31,,0,0.6125,0.475,Positive,positive,1
4,1.34E+18,1.69E+18,en,2023-08-21 02:46:37+00:00,Time to take lorazepam and watch art restoration videos in bed,11,time  take lorazepam  watch art restoration videos  bed,8,,0,0,0,Neutral,,0
5,51418957,1.69E+18,en,2023-08-21 02:37:30+00:00,"@angelusmalusuk Im so sorry you’ve gone through all of this. I was in a similar situation a week ago.
1mg of lorazepam is equivalent of 5mg diazepam. Lorazepam is fast acting &amp; stays in system for 8 hours. Diazepam stays for around 48 hours. So when they say safer they most likely mean /1",52,"sorry  gone through   this   similar situation  week ago
1mg  lorazepam  equivalent  5mg diazepam lorazepam  fast acting  stays  system  8 hours diazepam stays  around 48 hours when  say safer they most likely mean",32,,0,0.598214286,-0.016071429,Negative,negative,-1
6,1.34E+18,1.69E+18,en,2023-08-21 02:12:25+00:00,I'M AWAKE- that lorazepam really knocked me the fuck out I SLEPT A PERFECT 8 HOURS,16, awake-  lorazepam really knocked  fuck out  slept  perfect 8 hours,10,,0,0.6,0.266666667,Positive,positive,1
7,79879197,1.69E+18,en,2023-08-21 01:49:59+00:00,@EMPAthy_atrophy I tested negative for benzos on 4-5 occasions despite taking lorazepam daily,,,,,0,0.2,-0.15,Negative,neutral,-1
8,162743963,1.69E+18,en,2023-08-21 00:38:04+00:00,"Can a doctor explain to me how diazepam is exactly the same as lorazepam, but lorazepam causes harm and diazepam doesn't? I can't get my head around what's happened tonight. It doesn't feel real. It can't be possible that this actually happened.",42,can  doctor explain   how diazepam  exactly  same  lorazepam but lorazepam causes harm  diazepam does not?  can not get  head around what is happened tonight  does not feel real can not  possible that  actually happened,29,,0,0.36875,0.0625,Positive,neutral,1
9,1.25E+18,1.69E+18,en,2023-08-20 23:22:01+00:00,i can’t believe I thought lorazepam was more effective than midazolam,11, can not believe  thought lorazepam  more effective  midazolam,7,,0,0.65,0.55,Positive,negative,1
10,6358292,1.69E+18,en,2023-08-20 22:06:43+00:00,It’s wrap myself in a blanket and take a lorazepam time.,11,it is wrap myself   blanket  take  lorazepam time,7,,0,0,0,Neutral,positive,0
11,162743963,1.69E+18,en,2023-08-20 21:57:31+00:00,"My stepdad came and got me. The hospital said it was my choice to leave or stay. I would've left earlier if they hadn't LIED!!!!! I'm a wreck, because of two doctors: one who lied about prescribing lorazepam and another who talked shit about lorazepam to justify refusing it.",49, stepdad came  got  hospital said choice  leave  stay  left earlier  they had not lied!!!!!  wreck because  two doctors one  lied about prescribing lorazepam  another  talked shit about lorazepam  justify refusing ,29,,0,0.433333333,-0.066666667,Negative,negative,-1
12,162743963,1.69E+18,en,2023-08-20 21:54:22+00:00,I can't believe they did that. And they're gonna say it was me! Choosing to leave! Because they lied about lorazepam to sleep!!! I'd have left earlier if I'd known. Never trust anyone ever. I so wish I'd remembered recording on my phone. They'll just lie.,,,,,0,0.25,0,Neutral,negative,0
